ID,a_num_id,b_num_id
1170,742,3
1171,169,803
1172,743,195
1173,744,169
1174,745,178
1175,746,195
1176,747,1186
1177,195,750
1178,748,195
1179,749,1186
1180,195,1093
1181,750,195
1182,751,195
1183,177,1349
1184,752,177
1185,195,980
1186,177,1350
1187,753,178
1188,754,178
1189,177,1351
1190,183,1057
1191,178,754
1192,195,761
1193,755,169
1194,756,195
1195,757,195
1196,183,1099
1197,183,758
1198,758,183
1199,759,169
1200,760,183
1201,761,195
1202,762,177
1203,763,177
1204,183,1352
1205,183,807
1206,764,3
1207,4,1353
1208,765,183
1209,183,765
1210,195,1102
1211,766,195
1212,188,1354
1213,188,1355
1214,767,177
1215,768,230
1216,769,195
1217,770,195
1218,771,4
1219,4,1356
1220,195,770
1221,169,1357
1222,183,1358
1223,772,177
1224,169,744
1225,773,177
1226,195,774
1227,195,777
1228,774,195
1229,775,177
1230,776,195
1231,777,195
1232,230,270
1233,778,183
1234,779,195
1235,780,195
1236,781,195
1237,195,1359
1238,195,781
1239,782,195
1240,169,541
1241,783,183
1242,784,183
1243,183,253
1244,451,177
1245,785,195
1246,195,1360
1247,195,1361
1248,786,195
1249,177,787
1250,195,730
1251,787,177
1252,788,177
1253,789,177
1254,790,3
1255,177,453
1256,791,169
1257,230,1362
1258,230,768
1259,792,183
1260,183,1363
1261,793,3
1262,794,195
1263,656,183
1264,795,195
1265,177,1364
1266,796,183
1267,177,788
1268,169,1365
1269,797,195
1270,195,1366
1271,183,792
1272,798,177
1273,195,1367
1274,177,1368
1275,799,230
1276,177,1115
1277,800,177
1278,4,1369
1279,801,195
1280,195,677
1281,195,1370
1282,802,177
1283,126,4
1284,188,1371
1285,230,924
1286,803,169
1287,178,1372
1288,177,1373
1289,178,988
1290,804,178
1291,805,195
1292,195,805
1293,806,177
1294,177,806
1295,807,183
1296,808,183
1297,177,362
1298,195,815
1299,195,712
1300,188,1118
1301,809,188
1302,188,1374
1303,195,1375
1304,178,1376
1305,169,755
1306,195,946
1307,810,177
1308,715,183
1309,811,178
1310,812,195
1311,195,1101
1312,169,1377
1313,169,1378
1314,123,4
1315,813,3
1316,4,1379
1317,814,4
1318,4,1380
1319,815,195
1320,816,3
1321,817,183
1322,195,218
1323,818,4
1324,195,1381
1325,195,1028
1326,819,169
1327,177,738
1328,820,177
1329,177,1382
1330,821,183
1331,4,276
1332,822,177
1333,195,220
1334,823,4
1335,824,195
1336,553,183
1337,169,791
1338,825,3
1339,169,826
1340,826,169
1341,169,1383
1342,827,3
1343,177,1384
1344,178,446
1345,828,195
1346,829,178
1347,177,690
1348,177,1385
1349,830,3
1350,177,1386
1351,831,4
1352,177,832
1353,832,177
1354,833,3
1355,3,455
1356,3,827
1357,3,1387
1358,177,1388
1359,177,1389
1360,834,177
1361,4,298
1362,835,188
1363,230,839
1364,836,195
1365,4,858
1366,837,195
1367,838,177
1368,188,1390
1369,195,766
1370,177,559
1371,839,230
1372,840,177
1373,183,808
1374,841,188
1375,183,1391
1376,188,865
1377,195,1392
1378,195,836
1379,195,695
1380,195,1393
1381,842,183
1382,169,1394
1383,195,1395
1384,843,183
1385,4,15
1386,177,920
1387,177,1396
1388,183,1397
1389,844,178
1390,178,325
1391,845,195
1392,846,3
1393,847,195
1394,848,183
1395,183,848
1396,178,804
1397,849,3
1398,850,3
1399,851,188
1400,195,1398
1401,183,1399
1402,183,859
1403,852,177
1404,169,373
1405,853,4
1406,195,756
1407,188,1400
1408,177,834
1409,854,178
1410,178,1401
1411,855,3
1412,177,860
1413,856,177
1414,857,178
1415,858,4
1416,859,183
1417,860,177
1418,195,289
1419,195,1402
1420,188,1403
1421,861,4
1422,195,1141
1423,195,1404
1424,195,862
1425,862,195
1426,863,178
1427,864,4
1428,865,188
1429,866,195
1430,195,1405
1431,169,1406
1432,867,195
1433,868,183
1434,183,626
1435,869,177
1436,4,9
